id,age,country,language,personality,reading_habits,favourite_genres,patience
ID0106,69,Brazil,Portuguese,Introvert,Monthly,History,Moderate
ID0107,44,United Kingdom,English,Ambivert,Several times a week,Science Fiction,Low
ID0108,21,India,Hindi,Extrovert,Monthly,Comics & Graphic Novels,Low
ID0109,66,India,Hindi,Ambivert,Weekly,Self-Help,Low
ID0110,50,United States,English,Ambivert,Weekly,Fantasy,High
ID0111,40,India,Hindi,Ambivert,Several times a week,Science & Technology,Moderate
ID0112,45,United States,English,Extrovert,Weekly,Fantasy,Moderate
ID0113,71,United States,English,Extrovert,Weekly,Comics & Graphic Novels,Moderate
ID0114,75,Canada,English,Extrovert,Monthly,Mystery & Thriller,Moderate
ID0115,21,Germany,German,Ambivert,Weekly,Fantasy,Moderate
ID0116,53,France,French,Introvert,Weekly,History,High
ID0117,34,India,Hindi,Ambivert,Daily,Poetry,Low
ID0118,23,Japan,Japanese,Ambivert,Monthly,Fiction,Moderate
ID0119,71,India,Hindi,Extrovert,Daily,Science Fiction,Moderate
ID0120,39,United Kingdom,English,Ambivert,Daily,Fantasy,Moderate
ID0121,40,Nigeria,English,Extrovert,Weekly,Fiction,Moderate
ID0122,67,United States,English,Introvert,Rarely,Mystery & Thriller,Moderate
ID0123,72,Spain,Spanish,Extrovert,Monthly,Poetry,High
ID0124,66,Brazil,Portuguese,Introvert,Monthly,Business,Moderate
ID0125,20,South Korea,Korean,Ambivert,Daily,Business,Moderate
ID0126,65,Brazil,Portuguese,Ambivert,Daily,Biography & Memoir,Moderate
ID0127,34,Germany,German,Ambivert,Weekly,Fantasy,High
ID0128,27,United States,English,Ambivert,Weekly,Mystery & Thriller,High
ID0129,75,Nigeria,English,Ambivert,Weekly,Fiction,Moderate
ID0130,75,South Africa,English,Ambivert,Several times a week,Biography & Memoir,Moderate
ID0131,44,Brazil,Portuguese,Ambivert,Daily,Biography & Memoir,Low
ID0132,59,United Kingdom,English,Introvert,Several times a week,Biography & Memoir,Moderate
ID0133,23,Australia,English,Ambivert,Weekly,History,Moderate
ID0134,42,United States,English,Ambivert,Daily,History,High
ID0135,19,Nigeria,English,Extrovert,Several times a week,Biography & Memoir,Moderate
ID0136,71,United Kingdom,English,Ambivert,Daily,Self-Help,Moderate
ID0137,22,India,Hindi,Introvert,Monthly,Biography & Memoir,Moderate
ID0138,27,Japan,Japanese,Introvert,Rarely,Fiction,Moderate
ID0139,69,Germany,German,Extrovert,Daily,Fiction,Moderate
ID0140,48,United Kingdom,English,Introvert,Weekly,Business,High
ID0141,70,Canada,English,Introvert,Daily,History,Moderate
ID0142,22,India,Hindi,Introvert,Monthly,Romance,High
ID0143,29,United Kingdom,English,Ambivert,Several times a week,Science Fiction,Moderate
ID0144,60,India,Hindi,Ambivert,Daily,Business,High
ID0145,54,France,French,Extrovert,Rarely,Biography & Memoir,High
ID0146,71,Nigeria,English,Ambivert,Weekly,History,Low
ID0147,56,France,French,Ambivert,Weekly,Self-Help,Moderate
ID0148,42,Mexico,Spanish,Introvert,Rarely,Poetry,Moderate
ID0149,64,India,Hindi,Extrovert,Several times a week,Mystery & Thriller,Moderate
ID0150,30,Spain,Spanish,Introvert,Several times a week,Science Fiction,Low
ID0151,52,India,Hindi,Ambivert,Weekly,Science Fiction,Moderate
ID0152,46,Germany,German,Introvert,Daily,Self-Help,High
ID0153,49,Germany,German,Extrovert,Daily,Fiction,Low
ID0154,43,Germany,German,Extrovert,Rarely,Mystery & Thriller,Moderate
ID0155,44,Nigeria,English,Ambivert,Daily,Fiction,Moderate
ID0156,28,Nigeria,English,Ambivert,Several times a week,Self-Help,High
ID0157,21,Nigeria,English,Introvert,Several times a week,Science Fiction,Low
ID0158,25,Netherlands,Dutch,Extrovert,Several times a week,Mystery & Thriller,High
ID0159,69,Canada,English,Ambivert,Several times a week,Self-Help,Moderate
ID0160,48,United States,English,Introvert,Daily,Fiction,High
ID0161,63,United States,English,Ambivert,Monthly,History,High
ID0162,23,Nigeria,English,Ambivert,Daily,Fiction,Moderate
ID0163,44,Spain,Spanish,Ambivert,Monthly,Poetry,Moderate
ID0164,67,India,Hindi,Ambivert,Rarely,Comics & Graphic Novels,Moderate
ID0165,23,Australia,English,Ambivert,Weekly,Biography & Memoir,Moderate
ID0166,58,United States,English,Extrovert,Several times a week,History,Low
ID0167,65,Netherlands,Dutch,Ambivert,Several times a week,Romance,Moderate
ID0168,35,Brazil,Portuguese,Ambivert,Monthly,Fantasy,Moderate
ID0169,48,Italy,Italian,Introvert,Weekly,Fantasy,Moderate
ID0170,30,Australia,English,Ambivert,Monthly,Biography & Memoir,Moderate
ID0171,48,South Korea,Korean,Extrovert,Monthly,Science Fiction,Moderate
ID0172,45,Spain,Spanish,Introvert,Monthly,Fiction,Moderate
ID0173,56,Italy,Italian,Introvert,Several times a week,Self-Help,Moderate
ID0174,25,Brazil,Portuguese,Introvert,Several times a week,Business,Moderate
ID0175,39,China,Mandarin Chinese,Introvert,Monthly,Science Fiction,Moderate
ID0176,23,Japan,Japanese,Ambivert,Weekly,Fantasy,High
ID0177,43,Australia,English,Ambivert,Weekly,Biography & Memoir,Moderate
ID0178,59,China,Mandarin Chinese,Ambivert,Daily,Mystery & Thriller,Moderate
ID0179,38,United States,English,Ambivert,Several times a week,Fiction,Moderate
ID0180,61,China,Mandarin Chinese,Introvert,Weekly,Romance,Moderate
ID0181,23,Canada,English,Extrovert,Weekly,Self-Help,High
ID0182,47,South Africa,English,Ambivert,Several times a week,Business,High
ID0183,21,China,Mandarin Chinese,Extrovert,Daily,Fiction,Moderate
ID0184,58,Mexico,Spanish,Ambivert,Rarely,Mystery & Thriller,Low
ID0185,62,Japan,Japanese,Introvert,Rarely,Comics & Graphic Novels,Low
ID0186,68,Nigeria,English,Introvert,Rarely,Self-Help,High
ID0187,61,Canada,English,Ambivert,Weekly,Fantasy,High
ID0188,60,France,French,Extrovert,Weekly,Biography & Memoir,Moderate
ID0189,41,India,Hindi,Extrovert,Several times a week,Fantasy,Moderate
ID0190,55,Germany,German,Ambivert,Weekly,Self-Help,High
ID0191,73,Nigeria,English,Introvert,Daily,Mystery & Thriller,Moderate
ID0192,23,United States,English,Introvert,Several times a week,Romance,High
ID0193,52,Canada,English,Extrovert,Daily,Fantasy,Moderate
ID0194,70,South Korea,Korean,Ambivert,Weekly,Mystery & Thriller,Moderate
ID0195,56,China,Mandarin Chinese,Extrovert,Rarely,Business,High
ID0196,47,Japan,Japanese,Extrovert,Rarely,Fiction,Moderate
ID0197,49,Mexico,Spanish,Ambivert,Several times a week,Romance,Moderate
ID0198,55,United Kingdom,English,Ambivert,Weekly,History,Moderate
ID0199,18,Brazil,Portuguese,Ambivert,Several times a week,History,Moderate
ID0200,27,Mexico,Spanish,Ambivert,Several times a week,Mystery & Thriller,High
ID0201,75,Brazil,Portuguese,Introvert,Daily,Science Fiction,Moderate
ID0202,60,Italy,Italian,Introvert,Daily,Comics & Graphic Novels,High
ID0203,50,United States,English,Extrovert,Daily,Comics & Graphic Novels,High
ID0204,69,United States,English,Ambivert,Daily,Biography & Memoir,Moderate
ID0205,46,United States,English,Introvert,Rarely,Romance,Low
ID0206,56,India,Hindi,Ambivert,Daily,Biography & Memoir,Moderate
ID0207,28,Brazil,Portuguese,Extrovert,Monthly,Fantasy,Moderate
ID0208,37,United States,English,Extrovert,Daily,Fiction,Moderate
ID0209,32,Spain,Spanish,Ambivert,Daily,History,High
ID0210,54,Mexico,Spanish,Ambivert,Daily,Comics & Graphic Novels,Moderate
ID0211,43,India,Hindi,Extrovert,Several times a week,Fantasy,Moderate
ID0212,25,India,Hindi,Ambivert,Weekly,Fantasy,Moderate
ID0213,52,India,Hindi,Ambivert,Weekly,Romance,Moderate
ID0214,48,India,Hindi,Ambivert,Several times a week,Mystery & Thriller,Moderate
ID0215,53,China,Mandarin Chinese,Ambivert,Several times a week,Self-Help,Low
ID0216,35,Indonesia,Indonesian,Ambivert,Several times a week,Science Fiction,Low
ID0217,75,Australia,English,Introvert,Several times a week,Poetry,Moderate
ID0218,73,United Kingdom,English,Ambivert,Monthly,Comics & Graphic Novels,Low
ID0219,27,Japan,Japanese,Extrovert,Weekly,Fantasy,Moderate
ID0220,50,Germany,German,Ambivert,Weekly,Science & Technology,Moderate
ID0221,53,Brazil,Portuguese,Extrovert,Monthly,Biography & Memoir,High
ID0222,46,Spain,Spanish,Ambivert,Daily,Mystery & Thriller,Moderate
ID0223,68,India,Hindi,Ambivert,Weekly,Biography & Memoir,Moderate
ID0224,60,India,Hindi,Ambivert,Several times a week,Biography & Memoir,High
ID0225,43,Germany,German,Extrovert,Several times a week,Fantasy,Moderate
ID0226,64,Japan,Japanese,Extrovert,Several times a week,Comics & Graphic Novels,High
ID0227,47,United Kingdom,English,Ambivert,Several times a week,Mystery & Thriller,Moderate
ID0228,35,China,Mandarin Chinese,Introvert,Rarely,Romance,Low
ID0229,75,Indonesia,Indonesian,Introvert,Several times a week,Mystery & Thriller,Moderate
ID0230,71,Spain,Spanish,Introvert,Weekly,Romance,Moderate
ID0231,22,Brazil,Portuguese,Introvert,Several times a week,Mystery & Thriller,Moderate
ID0232,70,South Africa,English,Ambivert,Weekly,Romance,Low
ID0233,50,South Africa,English,Extrovert,Daily,Biography & Memoir,Low
ID0234,55,United States,English,Extrovert,Rarely,Romance,Low
ID0235,47,Brazil,Portuguese,Extrovert,Rarely,History,High
ID0236,74,United Arab Emirates,Arabic,Extrovert,Several times a week,Self-Help,Moderate
ID0237,18,Nigeria,English,Ambivert,Weekly,Business,High
ID0238,70,Canada,English,Introvert,Rarely,Fantasy,High
ID0239,24,Mexico,Spanish,Introvert,Weekly,Biography & Memoir,Low
ID0240,41,Canada,English,Introvert,Daily,History,Moderate
ID0241,30,China,Mandarin Chinese,Extrovert,Weekly,Business,Moderate
ID0242,27,Brazil,Portuguese,Ambivert,Several times a week,Science Fiction,Moderate
ID0243,45,India,Hindi,Ambivert,Weekly,Self-Help,Low
ID0244,37,United States,English,Ambivert,Several times a week,Fantasy,Low
ID0245,74,Italy,Italian,Introvert,Rarely,Self-Help,Moderate
ID0246,19,Canada,English,Ambivert,Weekly,Fiction,Moderate
ID0247,67,India,Hindi,Extrovert,Several times a week,Romance,Moderate
ID0248,68,Canada,English,Extrovert,Several times a week,Mystery & Thriller,Moderate
ID0249,44,South Africa,English,Ambivert,Daily,Fantasy,High
ID0250,62,Spain,Spanish,Introvert,Weekly,Comics & Graphic Novels,Moderate
ID0251,35,India,Hindi,Ambivert,Monthly,Fantasy,Moderate
ID0252,18,Sweden,Swedish,Extrovert,Monthly,History,High
ID0253,41,Germany,German,Introvert,Weekly,Fiction,Moderate
ID0254,18,United Kingdom,English,Ambivert,Daily,Romance,Moderate
ID0255,33,India,Hindi,Introvert,Several times a week,Fantasy,Low
ID0256,50,Netherlands,Dutch,Ambivert,Monthly,History,Moderate
ID0257,54,India,Hindi,Introvert,Weekly,Science Fiction,Low
ID0258,41,Mexico,Spanish,Ambivert,Monthly,Fantasy,Low
ID0259,56,China,Mandarin Chinese,Ambivert,Several times a week,History,Moderate
ID0260,27,Germany,German,Ambivert,Daily,Science & Technology,Moderate
ID0261,33,India,Hindi,Extrovert,Several times a week,Fantasy,Low
ID0262,42,United Arab Emirates,Arabic,Ambivert,Weekly,Mystery & Thriller,Moderate
ID0263,57,United Kingdom,English,Ambivert,Daily,Business,Low
ID0264,30,Australia,English,Introvert,Daily,Mystery & Thriller,Moderate
ID0265,49,Canada,English,Introvert,Daily,Poetry,Low
ID0266,27,India,Hindi,Introvert,Several times a week,Mystery & Thriller,Moderate
ID0267,22,Germany,German,Ambivert,Monthly,Business,Moderate
ID0268,28,France,French,Introvert,Weekly,Business,Moderate
ID0269,22,India,Hindi,Extrovert,Monthly,Fiction,Low
ID0270,37,India,Hindi,Ambivert,Several times a week,Poetry,Moderate
ID0271,72,France,French,Introvert,Weekly,Fantasy,Moderate
ID0272,51,South Korea,Korean,Ambivert,Monthly,Fiction,Moderate
ID0273,61,India,Hindi,Ambivert,Several times a week,Science Fiction,High
ID0274,21,India,Hindi,Introvert,Weekly,Fantasy,Moderate
ID0275,30,South Africa,English,Ambivert,Weekly,Self-Help,Low
ID0276,39,Brazil,Portuguese,Ambivert,Weekly,Poetry,High
ID0277,26,India,Hindi,Ambivert,Daily,Business,Moderate
ID0278,21,Japan,Japanese,Introvert,Rarely,Self-Help,High
ID0279,51,South Africa,English,Ambivert,Monthly,Biography & Memoir,Moderate
ID0280,27,South Africa,English,Extrovert,Rarely,Fiction,Low
ID0281,54,Australia,English,Extrovert,Monthly,Self-Help,Moderate
ID0282,53,South Korea,Korean,Ambivert,Monthly,Mystery & Thriller,High
ID0283,20,Spain,Spanish,Ambivert,Several times a week,Science Fiction,Moderate
ID0284,55,United Kingdom,English,Ambivert,Weekly,Business,Moderate
ID0285,63,Spain,Spanish,Ambivert,Daily,Fantasy,Low
ID0286,63,Germany,German,Ambivert,Rarely,Mystery & Thriller,Moderate
ID0287,19,Canada,English,Introvert,Rarely,Self-Help,Low
ID0288,72,India,Hindi,Extrovert,Weekly,Fiction,Moderate
ID0289,56,Brazil,Portuguese,Ambivert,Several times a week,Biography & Memoir,High
ID0290,52,Canada,English,Ambivert,Weekly,Biography & Memoir,Low
ID0291,18,Brazil,Portuguese,Ambivert,Daily,Biography & Memoir,Moderate
ID0292,29,India,Hindi,Ambivert,Several times a week,Mystery & Thriller,High
ID0293,41,Nigeria,English,Ambivert,Weekly,Fiction,Moderate
ID0294,35,Nigeria,English,Ambivert,Weekly,History,Moderate
ID0295,64,Mexico,Spanish,Ambivert,Rarely,Mystery & Thriller,Moderate
ID0296,19,Canada,English,Ambivert,Weekly,Science Fiction,Moderate
ID0297,50,India,Hindi,Extrovert,Several times a week,Romance,High
ID0298,60,India,Hindi,Ambivert,Weekly,Fantasy,Moderate
ID0299,32,South Korea,Korean,Ambivert,Daily,Business,High
ID0300,29,United Arab Emirates,Arabic,Ambivert,Daily,Biography & Memoir,High
ID0301,65,Japan,Japanese,Ambivert,Several times a week,Fantasy,Moderate
ID0302,56,China,Mandarin Chinese,Ambivert,Several times a week,Mystery & Thriller,High
ID0303,56,Germany,German,Extrovert,Rarely,Science Fiction,High
ID0304,36,United Kingdom,English,Ambivert,Weekly,Mystery & Thriller,Moderate
ID0305,46,China,Mandarin Chinese,Ambivert,Daily,Science & Technology,Low
ID0306,37,China,Mandarin Chinese,Ambivert,Weekly,Romance,Low
ID0307,59,India,Hindi,Ambivert,Daily,Mystery & Thriller,High
ID0308,47,United States,English,Extrovert,Daily,Fantasy,Moderate
ID0309,37,India,Hindi,Ambivert,Monthly,Romance,Moderate
ID0310,70,India,Hindi,Ambivert,Several times a week,Mystery & Thriller,Moderate
ID0311,68,Mexico,Spanish,Introvert,Several times a week,Fantasy,High
ID0312,33,India,Hindi,Introvert,Weekly,Business,High
ID0313,29,Japan,Japanese,Ambivert,Daily,Mystery & Thriller,Low
ID0314,21,United States,English,Introvert,Monthly,Biography & Memoir,Moderate
ID0315,45,India,Hindi,Ambivert,Daily,Romance,Moderate
ID0316,35,Australia,English,Ambivert,Several times a week,History,Moderate
ID0317,75,United States,English,Extrovert,Weekly,Science Fiction,High
ID0318,56,Brazil,Portuguese,Ambivert,Several times a week,Poetry,Moderate
ID0319,34,Italy,Italian,Introvert,Weekly,Biography & Memoir,Moderate
ID0320,45,India,Hindi,Introvert,Daily,Biography & Memoir,Moderate
ID0321,36,United Kingdom,English,Extrovert,Weekly,Science & Technology,High
ID0322,47,United States,English,Ambivert,Weekly,Romance,Moderate
ID0323,61,Netherlands,Dutch,Ambivert,Rarely,Fantasy,Low
ID0324,65,India,Hindi,Ambivert,Weekly,Science Fiction,Moderate
ID0325,60,Italy,Italian,Extrovert,Weekly,Biography & Memoir,Low
ID0326,75,India,Hindi,Extrovert,Daily,Self-Help,Moderate
ID0327,53,Australia,English,Extrovert,Weekly,Fantasy,Moderate
ID0328,46,United States,English,Ambivert,Several times a week,Business,High
ID0329,43,Canada,English,Extrovert,Rarely,Science & Technology,Low
ID0330,18,Germany,German,Ambivert,Weekly,Fiction,Moderate
ID0331,33,Brazil,Portuguese,Extrovert,Weekly,Fantasy,High
ID0332,18,South Korea,Korean,Ambivert,Weekly,Fiction,Moderate
ID0333,53,Canada,English,Extrovert,Rarely,Romance,Moderate
ID0334,69,France,French,Extrovert,Daily,Romance,High
ID0335,50,Netherlands,Dutch,Ambivert,Several times a week,Fantasy,High
ID0336,39,Canada,English,Ambivert,Daily,Biography & Memoir,Moderate
ID0337,37,Germany,German,Extrovert,Weekly,Fantasy,High
ID0338,31,United States,English,Introvert,Monthly,Mystery & Thriller,Moderate
ID0339,34,Sweden,Swedish,Extrovert,Weekly,Fiction,Moderate
ID0340,33,United States,English,Introvert,Rarely,Biography & Memoir,Moderate
ID0341,73,South Africa,English,Ambivert,Weekly,Self-Help,High
ID0342,23,Germany,German,Ambivert,Several times a week,History,High
ID0343,22,Sweden,Swedish,Introvert,Monthly,Fantasy,Moderate
ID0344,44,United States,English,Extrovert,Daily,Business,Moderate
ID0345,27,France,French,Extrovert,Monthly,Biography & Memoir,Moderate
ID0346,70,South Korea,Korean,Extrovert,Several times a week,Fiction,Moderate
ID0347,72,United States,English,Ambivert,Monthly,Fiction,Low
ID0348,21,United States,English,Extrovert,Daily,Comics & Graphic Novels,Moderate
ID0349,48,India,Hindi,Extrovert,Rarely,Biography & Memoir,Moderate
ID0350,62,Nigeria,English,Introvert,Weekly,Romance,Moderate
ID0351,43,United Kingdom,English,Ambivert,Several times a week,Comics & Graphic Novels,High
ID0352,20,India,Hindi,Introvert,Several times a week,Mystery & Thriller,High
ID0353,55,United Kingdom,English,Introvert,Daily,Fiction,Low
ID0354,48,Mexico,Spanish,Ambivert,Several times a week,History,High
ID0355,34,Mexico,Spanish,Ambivert,Daily,Fantasy,High
ID0356,56,India,Hindi,Ambivert,Several times a week,Science & Technology,High
ID0357,64,Brazil,Portuguese,Ambivert,Daily,Self-Help,Moderate
ID0358,25,United States,English,Extrovert,Daily,Comics & Graphic Novels,High
ID0359,51,India,Hindi,Ambivert,Several times a week,History,Low
ID0360,20,Mexico,Spanish,Ambivert,Several times a week,Fantasy,High
ID0361,33,Mexico,Spanish,Ambivert,Monthly,Fiction,Moderate
ID0362,73,United Kingdom,English,Ambivert,Several times a week,Fiction,High
ID0363,52,Brazil,Portuguese,Ambivert,Several times a week,Science Fiction,High
ID0364,65,Canada,English,Ambivert,Weekly,Fantasy,Moderate
ID0365,22,Canada,English,Introvert,Weekly,Fantasy,Moderate
ID0366,29,United States,English,Introvert,Several times a week,Romance,Moderate
ID0367,25,United States,English,Introvert,Several times a week,Biography & Memoir,High
ID0368,59,Australia,English,Ambivert,Several times a week,Self-Help,Moderate
ID0369,43,India,Hindi,Introvert,Rarely,Science Fiction,Moderate
ID0370,33,Brazil,Portuguese,Introvert,Monthly,Poetry,Low
ID0371,44,United Kingdom,English,Ambivert,Several times a week,Romance,High
ID0372,42,India,Hindi,Ambivert,Monthly,Biography & Memoir,High
ID0373,57,India,Hindi,Introvert,Several times a week,Self-Help,Moderate
ID0374,42,Mexico,Spanish,Introvert,Daily,Fantasy,Moderate
ID0375,60,Japan,Japanese,Ambivert,Weekly,Romance,Moderate
ID0376,35,Australia,English,Ambivert,Daily,Science Fiction,Moderate
ID0377,58,India,Hindi,Ambivert,Rarely,Science Fiction,Moderate
ID0378,32,India,Hindi,Ambivert,Monthly,Business,High
ID0379,21,United States,English,Introvert,Weekly,Science Fiction,Moderate
ID0380,33,South Africa,English,Introvert,Several times a week,Fantasy,Moderate
ID0381,25,Mexico,Spanish,Ambivert,Monthly,Science Fiction,Moderate
ID0382,42,Brazil,Portuguese,Ambivert,Weekly,Mystery & Thriller,High
ID0383,24,India,Hindi,Introvert,Several times a week,Poetry,Moderate
ID0384,60,Sweden,Swedish,Extrovert,Rarely,Mystery & Thriller,Low
ID0385,70,United Arab Emirates,Arabic,Introvert,Daily,Fantasy,High
ID0386,32,India,Hindi,Extrovert,Several times a week,Fantasy,Low
ID0387,34,United States,English,Ambivert,Weekly,History,High
ID0388,54,Australia,English,Ambivert,Monthly,Romance,High
ID0389,42,France,French,Extrovert,Monthly,Mystery & Thriller,High
